"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 1 , 0 , 0 , 0
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 2 , 1 , 1 , 0
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 3 , 0 , 0 , 0
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 4 , 0 , 0 , 0
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 5 , 0 , 1 , 1
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 6 , 0 , 1 , 1
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 7 , 0 , 1 , 1
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 8 , 0 , 1 , 1
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 9 , 0 , 0 , 0
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 10 , 0 , 0 , 0
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 11 , 1 , 1 , 0
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 12 , 0 , 1 , 1
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 13 , 0 , 1 , 1
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 14 , 0 , 0 , 0
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 15 , 1 , 1 , 0
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 16 , 1 , 1 , 0
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 17 , 1 , 0 , 1
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 18 , 1 , 0 , 1
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 19 , 1 , 1 , 0
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 20 , 1 , 1 , 0
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 21 , 0 , 1 , 1
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
Miguel , 22 , 0 , 0 , 0
"human guesser" , "round in game" , "storyteller success (binary)" , "bot correct (binary)" , "human correct (binary)"
